"doc_id","text","dropped"
"2593 UgyfN6Z9Dcge4lUJpNx4AaABAg","Oh brother",NA
"2594 Ugy_XUeSDbvjJfw59bt4AaABAg","Yes he is !!!!!!",NA
"2616 UgzEs_2cPJh0GrWSIbB4AaABAg","😂😂😂😂😂",NA
"2645 UgwTAkonxH-g91E8Rst4AaABAg","Giant Douch and Turdsandwich",NA
"2646 UgwIEs2De8uraD4LSZB4AaABAg","おいおい！！話すだけで息切れしているではないか？！",NA
"2666 UgxZwJQWc_gw8FWOqGV4AaABAg","Amis, das kann man sich nicht ausdenken",NA
"2705 UgwYLg6n9cciKCSBQQR4AaABAg","Peroidt",NA
"2773 UgwgPY9VAcHJzAzhwsZ4AaABAg","😂this guy...",NA
"2783 UgwJ1WgDGIwCRn6-fq94AaABAg","Soo silly...",NA
"2798 Ugz6Lg3sFsx-7RQnxqd4AaABAg","20fird???????? pounds...smh",NA
"2801 UgwrNyUWoxsLvnWn3Ot4AaABAg","Ale 😂dupek😂😂",NA
"2820 UgzDL4Wft0FK96xHI8V4AaABAg","Oh boy, 😆😂",NA
"2836 UgzvJqs-_p40kdkO4YZ4AaABAg","ባይደን አዙሮት አለመውደቁም ይወዛወዛል እንኮ እደዛፍ😂😂😂😂😂😂",NA
"2850 Ugydxn5pWMp70p6B8GR4AaABAg","The biggest heart😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",NA
"2922 UgwRnpAhdrucrKhZSyV4AaABAg","This joe with Ideia  .ideia ideia..",NA
"2935 Ugyd71ttQvNaLrKwClJ4AaABAg","49:15 - 49:22

JOE'S REACTIONS OMG😭",NA
"2955 UgzPvOXCh8NMMaQotGx4AaABAg","DEMONCRATS DEMONCRATS DEMONCRATS",NA
"2977 UgwpmiHBYN9WEfY4is54AaABAg","https://sanalamhamdialkamari.blogspot.com/2024/06/blog-post_30.html?m=1",NA
"2980 UgzTpyx5kTums1aKgZB4AaABAg","#VetsforTrump!",NA
"2982 UgwogAwbcbUiTlIvBEl4AaABAg","🤡🤡🤡Show",NA
"3025 UgybPiNbEjXCzw7_MEh4AaABAg","Dystopian.",NA
"3030 Ugz8w_unrvjYzluhqrB4AaABAg","Bidenoke",NA
"3038 UgzU5BGhYAHlw0RVtmV4AaABAg","Bajdenjo❤",NA
"3074 UgwyL3B0gVYBOGNJdaR4AaABAg","🇺🇸Trump🇺🇸",NA
"3081 Ugw5PzI3LC6im4MI83l4AaABAg","Não há reforma na América,  obrigam os velhotes a trabalhar até aos 100 anos.",NA
"3085 UgxKOI4vByxaGvjo7D14AaABAg","AL BAG DADDY",NA
"3120 UgxHtUjkpeenzptUbtB4AaABAg","Biden,liar incompetant",NA
"3121 UgxxzXkQwhQqpR7QN1x4AaABAg","10:36 ~ 11:16",NA
"3122 Ugy9thnMpLRo_ezxUSB4AaABAg","Bravo BAYDEN❤😅😅😅😅",NA
"3124 UgxYA560ZsBKZ5cDFvN4AaABAg","စော်ကား​ပြောဆိုတဲ့ လူသည်သာ ကျဆုံးသင့်ပါသည်။",NA
